Sample,Neutrophil CD10 proportion,Neutrophil CD63 proportion,Neutrophil CD10+CD63+,Neutrophil CD10+CD63-,Neutrophil CD10-CD63+,Neutrophil CD10-CD63-,Neutrophil CD10+CD11b+CD62L+CD63+,Neutrophil CD10+CD11b+CD62L+CD63-,Neutrophil CD10+CD11b+CD62L-CD63+,Neutrophil CD10+CD11b+CD62L-CD63-,Neutrophil CD10+CD11b-CD62L+CD63+,Neutrophil CD10+CD11b-CD62L+CD63-,Neutrophil CD10+CD11b-CD62L-CD63+,Neutrophil CD10+CD11b-CD62L-CD63-,Neutrophil CD10-CD11b+CD62L+CD63+,Neutrophil CD10-CD11b+CD62L+CD63-,Neutrophil CD10-CD11b+CD62L-CD63+,Neutrophil CD10-CD11b+CD62L-CD63-,Neutrophil CD10-CD11b-CD62L+CD63+,Neutrophil CD10-CD11b-CD62L+CD63-,Neutrophil CD10-CD11b-CD62L-CD63+,Neutrophil CD10-CD11b-CD62L-CD63-,Neutrophil CD10 MFI,Neutrophil CD63 MFI,Neutrophil CD10+ proportion,Neutrophil CD63+ proportion,LAB ID,Sample Type,Sample Quality,CD3 Staining,CD11b Staining,Panel
Samples_CUF12A New Myeloid Panel 1 Nasal_001.fcs,93.5,22.5,21.5,72,0.98,5.48,1.57,35.4,4.11,18.6,11.7,5.28,4.11,12.7,0,0.39,0,1.17,0,0.39,0.98,3.52,588,689,636,4643,CUF12A,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12B New Myeloid Panel 1 Nasal_002.fcs,86,40,29.4,56.6,10.7,3.34,0.84,3.51,25.5,50.8,0.42,0.047,2.62,2.24,0.12,0.031,2.2,0.44,0.15,0.031,8.19,2.84,1715,1168,1966,6240,CUF12B,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12C New Myeloid Panel 1 Nasal_001.fcs,93.3,46.7,43.4,49.9,3.31,3.34,5.49,9.4,28.8,35.5,3.29,0.96,5.82,4.08,0.3,0.11,0.81,0.41,0.13,0.086,2.07,2.74,1018,1424,1083,5093,CUF12C,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12D New Myeloid Panel 1 Nasal_001.fcs,96,57.8,56.1,39.9,1.72,2.24,0.19,1.69,55,37.2,0.056,0.012,0.89,1.08,0.018,0.025,1.01,1.16,0.015,0.013,0.68,1.04,2200,2563,2270,6213,CUF12D,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12M New Myeloid Panel 1 Nasal_003.fcs,76.5,17.6,6.66,69.8,11,12.5,0.75,31.5,4.66,30.6,0.38,0.58,0.87,7.2,0.058,0.17,1.53,0.67,0.52,0.35,8.85,11.3,2439,597,3202,4361,CUF12M,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12N New Myeloid Panel 1 Nasal_003.fcs,71,13.1,7.69,63.3,5.43,23.5,0,9.28,3.39,46.2,3.39,2.49,0.9,5.43,0,0.45,2.94,9.28,0.23,1.13,2.26,12.7,559,340,808,2052,CUF12N,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12Q New Myeloid Panel 1 Nasal_002.fcs,86.9,6.02,4.16,82.7,1.86,11.2,0.44,22.4,1.59,45.1,0.53,1.68,1.59,13.6,0.089,0.18,0.18,1.24,0.089,0.35,1.51,9.48,769,445,890,2782,CUF12Q,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12R New Myeloid Panel 1 Nasal_001.fcs,93.7,38.1,34,59.7,4.07,2.27,0.36,5.38,33.1,53.6,0.069,0.014,0.47,0.65,0.021,0.019,2.89,1.59,0.012,5.19E-03,1.14,0.66,2173,864,2291,3649,CUF12R,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12S New Myeloid Panel 1 Nasal_001.fcs,71,31.4,20.5,50.5,10.9,18.1,0.11,0.69,11.1,24.5,0.23,0.11,9.06,25.1,0,0.23,1.26,2.64,0,0,9.63,15.3,982,676,1446,2219,CUF12S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12T New Myeloid Panel 1 Nasal_001.fcs,97,15.8,15.3,81.8,0.56,2.42,0.37,4.1,5.21,52.3,2.23,1.12,7.45,24.2,0,0,0,0.19,0,0,0.56,2.23,751,335,765,2614,CUF12T,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12U New Myeloid Panel 1 Nasal_001.fcs,95.7,23.4,21.3,74.4,2.13,2.18,0.38,6.65,14.4,42.7,0.44,3,5.99,22.1,0,0,0.6,0.054,0.16,0.11,1.36,2.02,1496,893,1563,5497,CUF12U,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12V New Myeloid Panel 1 Nasal_001.fcs,92.4,24.4,19.5,72.9,4.86,2.79,0.49,1.9,16,68.3,0.44,0.14,2.58,2.53,0.025,8.36E-03,1.9,0.67,0.033,0.033,2.9,2.08,2112,486,2248,5652,CUF12V,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF12X New Myeloid Panel 1 Nasal_001.fcs,93.5,52.3,47.6,45.9,4.68,1.77,2.83,2.81,24.7,30,7.36,3.41,12.7,9.71,0.048,0,1.08,0.19,0.29,0.024,3.26,1.56,447,1942,475,6267,CUF12X,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUF13A New Myeloid Panel 1 Nasal_002.fcs,82.4,35.6,23.9,58.5,11.6,5.95,1.89,2.61,18.4,47.8,1.6,3.63,2.03,4.5,0.15,0.15,8.13,4.35,0.15,0.15,3.19,1.31,711,1138,856,5925,CUF13A,Nasal,Good,Not Stained,Stained,NewMF
