Sample,Neutrophil CD10 proportion,Neutrophil CD63 proportion,Neutrophil CD10+CD63+,Neutrophil CD10+CD63-,Neutrophil CD10-CD63+,Neutrophil CD10-CD63-,Neutrophil CD10+CD11b+CD62L+CD63+,Neutrophil CD10+CD11b+CD62L+CD63-,Neutrophil CD10+CD11b+CD62L-CD63+,Neutrophil CD10+CD11b+CD62L-CD63-,Neutrophil CD10+CD11b-CD62L+CD63+,Neutrophil CD10+CD11b-CD62L+CD63-,Neutrophil CD10+CD11b-CD62L-CD63+,Neutrophil CD10+CD11b-CD62L-CD63-,Neutrophil CD10-CD11b+CD62L+CD63+,Neutrophil CD10-CD11b+CD62L+CD63-,Neutrophil CD10-CD11b+CD62L-CD63+,Neutrophil CD10-CD11b+CD62L-CD63-,Neutrophil CD10-CD11b-CD62L+CD63+,Neutrophil CD10-CD11b-CD62L+CD63-,Neutrophil CD10-CD11b-CD62L-CD63+,Neutrophil CD10-CD11b-CD62L-CD63-,Neutrophil CD10 MFI,Neutrophil CD63 MFI,Neutrophil CD10+ proportion,Neutrophil CD63+ proportion,LAB ID,Sample Type,Sample Quality,CD3 Staining,CD11b Staining,Panel
Samples_CUH11J New Myeloid Panel 1 Nasal_001.fcs,46.2,47.9,13.2,33,34.7,19.1,0.89,4.04,3.15,25.9,6.64,0.82,2.56,2.17,0.16,0.56,1.77,4.17,4.17,0.85,28.6,13.5,489,1801,1202,5368,CUH11J,Nasal,Poor,Not Stained,Stained,NewMF
Samples_CUH11K New Myeloid Panel 1 Nasal_001.fcs,64,30.4,13.2,50.7,17.2,18.9,0.89,7.39,9.29,39.2,0.88,0.43,2.17,3.71,0.53,2.22,5.01,6.01,0.53,1.25,11.1,9.39,808,690,1198,4469,CUH11K,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11L New Myeloid Panel 1 Nasal_001.fcs,80.7,42.7,31.3,49.4,11.4,7.91,0.68,2.89,26.3,43.8,1.07,0.15,3.2,2.59,0,0.076,3.35,4.03,0.46,0,7.61,3.81,1339,743,1647,3028,CUH11L,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11M New Myeloid Panel 1 Nasal_001.fcs,66,15.4,5.95,60.1,9.43,24.6,0.53,18.7,3.51,29.7,1.09,1.99,0.81,9.66,0.16,5.08,2.68,5.99,0.63,1.96,5.96,11.5,893,537,1377,4454,CUH11M,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11Q New Myeloid Panel 1 Nasal_001.fcs,77.4,17.8,12.2,65.2,5.56,17,0.22,2.63,10.9,52.6,0.51,1.24,0.58,8.77,0.073,0.37,2.92,4.68,0.073,0.29,2.49,11.7,1116,676,1420,4303,CUH11Q,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11R New Myeloid Panel 1 Nasal_001.fcs,50.2,44.2,17.4,32.8,26.8,23,6.85,14.9,10.1,17.1,0.37,0.02,0.098,0.86,0.9,0.059,7.86,0.86,1.25,0.37,16.8,21.8,2712,1743,11157,5185,CUH11R,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11S New Myeloid Panel 1 Nasal_001.fcs,52.4,15.3,5.2,47.2,10.1,37.5,0.027,17.4,1.65,24.2,0.8,0.11,2.72,5.47,0.16,4.16,2.8,5.76,0.053,0.027,7.1,27.6,615,535,1127,3049,CUH11S,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11T New Myeloid Panel 1 Nasal_001.fcs,69.4,12.5,5.66,63.7,6.82,23.8,0.28,25.7,1.61,28.3,2.94,3.88,0.83,5.82,0.28,3.44,1.22,3.49,0.78,2.66,4.55,14.2,985,494,1587,3375,CUH11T,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11U New Myeloid Panel 1 Nasal_001.fcs,69.7,20.4,11.8,58,8.61,21.6,0.21,4.62,6.72,38.9,3.57,2.52,1.26,12,0,1.05,2.31,4.2,0.84,0.84,5.46,15.5,1089,494,1652,3111,CUH11U,Nasal,Good,Not Stained,Stained,NewMF
Samples_CUH11V New Myeloid Panel 1 Nasal_001.fcs,74.9,8.99,6.4,68.5,2.58,22.5,0.052,10.3,5.04,48.6,0.25,2.96,1.06,6.7,0.026,3.23,0.43,2.38,0.039,4.3,2.09,12.6,1003,522,1368,3319,CUH11V,Nasal,Good,Not Stained,Stained,NewMF
